FatherId,MotherId,Children
31940,27897,32072;32098;31919;32036;32069;31814
31940,108,31895;31827;32016;32033
31938,107,32024;31875;31933;32037
31938,32110,32060;32058;31947
31936,28450,31847
31936,29251,31816;31897
31936,29876,31877;31937;31988;31826
31935,110,31834
31934,30992,31975;31941;31922
31932,27654,
31931,32647,
31930,29237,
31929,30295,31984
31929,30626,31932;31830
31928,30365,
31928,30437,31878
31925,29225,31926;31824;31980;31845
31923,27739,31962;31899;31829
31923,32056,
31922,30443,31853;32039;31944;31945
31920,27705,31960;32023;32084
31920,30310,32015;31950
31919,28444,32073;31923;32034
31919,29659,31999
31917,115,
31916,112,32014;32104;31986;32041;31843;31882;32003
31916,32681,
31915,27691,32062;32063
31915,32556,
31914,27674,32078;31917;32019
31914,258,
31912,32012,32042;32064;31979;31913;32017;31863
31911,6,32047;32030;32057
31908,30408,
31906,28390,31924;31907
31904,29918,32089
31904,31277,
31904,31989,
31904,32076,
31903,103,31908;32046;31911;32111;32092;31991;31916;32080;32102;32051;31914
31903,28426,
31903,102,31889;32112;32053;31949;31896
31900,27716,32110;31967;32000
31900,32415,32095;32081
31899,32083,
31896,27887,31835;31893;32079
31895,31312,31936;31842;32071;32117
31893,28473,31818
31889,32069,32105;31989;32008;31956;32022;32085
31888,30384,
31884,29977,31819;31921;32059;31886;31887;31898
31884,32073,32012;31855;32054;31918;31885;31930
31882,28402,32074;31983
31882,28473,
31882,34,31838
31882,32057,
31881,113,32077;32027;31982
31878,30939,31864;31879;31880
31876,0,31996
31876,0,31873
31876,0,31929
31876,0,31934
31873,30992,31822;31928
31872,28451,
31866,29257,31868;31869;31870;32010;31978;31966;31883;31812
31866,30986,31865;31867;31973;31871;32006
31861,30773,
31861,32415,31925
31861,32698,31992
31857,30647,
31857,30897,32107;32094;31974;31858;31859;31860
31856,30626,32066;32101
31856,31117,32093;32025;32026
31855,32161,
31852,29220,31849;31866;32031;31891;31840;32007;31994;32050
31852,49598,31884
31849,30665,31971;32011
31848,30611,32122;31969;31904;31993;31976;31856
31847,29276,31846
31847,29884,
31843,32085,32028;32106
31842,29876,
31840,30462,31955;31841;32103
31840,32101,31851;32040;31946;31815;31813
31835,32089,31909;31836;31990;32020;31902;32052;31997;32035
31835,111,31985;31850;31943;32109;31837;32067;32116;32087
31835,32171,
31834,32165,32088;32120;32099;31964
31833,31584,31977
31831,31370,31894;31832;31995;31844
31831,105,31823;31905;31862;32086;32018;32048
31831,106,
31830,32687,32021;32082;31825;31931;32032
31827,28444,32113;32119
31826,32067,32038;31828
31822,27654,31912;31915
31822,27722,
31821,30930,32013;31852;31920;32004;32001;31998
31821,104,31900;31861
31819,28352,31839;31820
31818,30764,32075;31927
31817,0,32076
31807,31592,31811
31807,32543,
31806,30273,31807;31810;31809;31808
31805,29955,
31801,33159,31759;31740;31729
31800,27719,
31800,33178,31742;31785;31753;31769;31781;31783;31749;31793
31799,31446,31790;31738;31782;31745
31797,32360,31795
31794,28063,31801;31803;31780
31794,16,31726;31771;31747
31791,27704,
31791,31280,
31791,253,31741;31754;31733;31777
31791,33166,31744
31790,33158,31762
31789,32733,31746
31787,30760,31788;31757;31756;31739;30685;31767
31787,31413,
31783,32560,
31780,29192,
31780,33158,
31778,32567,31732;31792;31779
31777,30612,31758;31786;31752;31751;31798;31764
31775,0,31765
31775,0,31776
31775,0,31794
31775,0,31799
31775,0,31735
31773,30427,31774;31796
31772,252,31800;31787
31771,31576,31773;31730
31770,31283,
31770,31562,31761
31768,29930,31736;31750;31778
31768,29934,31797
31767,30305,31768
31765,30305,31743;31791;31772;31755;31748;31763
31763,31357,31789;31804;31805;31770;31731
31724,31380,31589;31603;31677;31707;31584;31560;31683
31724,0,31612
31721,28441,
31721,29180,
31721,30278,31604;31691;31561
31721,32159,31698
31721,32660,
31721,32564,
31718,32081,31644;31720;31719;28158;31714;31682
31716,28477,31722;31678;31717;31664
31716,29192,
31716,33158,
31713,31460,31629;31701;31550;31681;31549;31592
31708,30641,31709;31606;31710;31552;31615;31651;31593
31707,31123,31658;31600;31686;31697
31707,32384,31708;31721;31583;31634;31576
31703,31548,31556;31723;31704;31577;31696;31609
31701,31810,31613
31698,31456,31673;31700;31699
31697,30343,31627;31558;31631
31697,30342,31638
31695,32679,31642;31581;31715
31693,29945,31694
31692,28196,
31692,29983,31588;31646;31684;31649;31610
31691,30623,31628
31691,32667,31344;31599
31686,29959,31559;31725;31688;28500;31687;31551;31621;28798
31685,29248,31672;31565;31654;31548;31652
31683,29650,
31683,32033,
31681,27884,31718
31680,87,31695;31546;31685;31596
31678,32592,31679;31580;31547
31677,85,31557;31587;28797;31578
31677,30904,31626;31602;31553
31677,30905,31650
31677,31735,
31676,88,31574;31617;31567;31545;31579
31672,30319,31379;31616
31671,31453,31640;31573;31711;31568
31669,31614,31693;31705;31597;31670
31669,48911,31712
31669,33158,
31664,31398,31630;31690;31571;31667;31666;31618;31665;31622
31664,31614,
31661,29183,31674;31662;31663;31647;31601;31563;31668
31658,32660,31659;31575;31660
31654,31590,31656;28145;31620;31655
31654,28169,31657
31654,32660,31569
